payout_provider,payout_amount,payout_currency,timestamp
PayPal,5.0,USD,2024-06-17T09:47:23.523548+00:00
Amazon.it,1.0,EUR,2024-06-17T09:47:23.549994+00:00
PayPal,20.0,AUD,2024-06-17T09:47:23.578660+00:00
PayPal,10.0,EUR,2024-06-17T09:47:23.605806+00:00
PayPal,50.0,GBP,2024-06-17T09:47:23.631408+00:00
Virtual Visa,10.0,USD,2024-06-17T09:47:23.657939+00:00
PayPal,5.0,GBP,2024-06-17T09:47:23.685542+00:00
PayPal,20.0,EUR,2024-06-17T09:47:23.710176+00:00
PayPal,5.0,EUR,2024-06-17T09:47:23.736698+00:00
Amazon.co.uk,10.0,GBP,2024-06-17T09:47:23.762769+00:00
PayPal,5.0,GBP,2024-06-17T09:47:23.788298+00:00
PayPal,5.0,GBP,2024-06-17T09:47:23.814046+00:00
PayPal,20.0,USD,2024-06-17T09:47:25.354496+00:00
PayPal,10.0,AUD,2024-06-17T09:47:25.380740+00:00
Amazon.com,5.0,USD,2024-06-17T09:47:25.405534+00:00
PayPal,5.0,AUD,2024-06-17T09:47:25.431050+00:00
PayPal,100.0,EUR,2024-06-17T09:47:25.457875+00:00
PayPal International,10.0,EUR,2024-06-17T09:47:25.484961+00:00
Amazon.co.uk,5.0,GBP,2024-06-17T09:47:25.510011+00:00
PayPal,5.0,USD,2024-06-17T09:47:25.534499+00:00
PayPal,5.0,USD,2024-06-17T09:47:25.558799+00:00
Amazon.it,1.0,EUR,2024-06-17T09:47:25.582370+00:00
PayPal,20.0,AUD,2024-06-17T09:47:25.618808+00:00
PayPal,10.0,EUR,2024-06-17T09:47:25.643114+00:00
PayPal,50.0,GBP,2024-06-17T09:47:25.667508+00:00
Virtual Visa,10.0,USD,2024-06-17T09:47:25.690422+00:00
PayPal,5.0,GBP,2024-06-17T09:47:25.716224+00:00
PayPal,20.0,EUR,2024-06-17T09:47:25.740169+00:00
PayPal,5.0,EUR,2024-06-17T09:47:25.765128+00:00
Amazon.co.uk,10.0,GBP,2024-06-17T09:47:25.790468+00:00
PayPal,5.0,GBP,2024-06-17T09:47:25.813484+00:00
PayPal,5.0,GBP,2024-06-17T09:47:25.838923+00:00
PayPal,20.0,AUD,2024-06-17T09:47:27.381637+00:00
PayPal,5.0,GBP,2024-06-17T09:47:27.406053+00:00
PayPal,100.0,EUR,2024-06-17T09:47:27.431305+00:00
PayPal,20.0,USD,2024-06-17T09:47:27.455887+00:00
PayPal,10.0,AUD,2024-06-17T09:47:27.482870+00:00
Amazon.com,5.0,USD,2024-06-17T09:47:27.507476+00:00
PayPal,5.0,AUD,2024-06-17T09:47:27.531894+00:00
PayPal,100.0,EUR,2024-06-17T09:47:27.558316+00:00
PayPal International,10.0,EUR,2024-06-17T09:47:27.582541+00:00
Amazon.co.uk,5.0,GBP,2024-06-17T09:47:27.607256+00:00
PayPal,5.0,USD,2024-06-17T09:47:27.635504+00:00
PayPal,5.0,USD,2024-06-17T09:47:27.661726+00:00
Amazon.it,1.0,EUR,2024-06-17T09:47:27.685554+00:00
PayPal,20.0,AUD,2024-06-17T09:47:27.711626+00:00
PayPal,10.0,EUR,2024-06-17T09:47:27.735932+00:00
PayPal,50.0,GBP,2024-06-17T09:47:27.759063+00:00
Virtual Visa,10.0,USD,2024-06-17T09:47:27.783818+00:00
PayPal,5.0,GBP,2024-06-17T09:47:27.808764+00:00
PayPal,20.0,EUR,2024-06-17T09:47:27.834130+00:00
PayPal,5.0,EUR,2024-06-17T09:47:27.860792+00:00
PayPal,20.0,AUD,2024-06-17T09:47:29.401600+00:00
PayPal,5.0,GBP,2024-06-17T09:47:29.425632+00:00
PayPal,100.0,EUR,2024-06-17T09:47:29.449065+00:00
PayPal,20.0,USD,2024-06-17T09:47:29.476985+00:00
PayPal,10.0,AUD,2024-06-17T09:47:29.504924+00:00
Amazon.com,5.0,USD,2024-06-17T09:47:29.529152+00:00
PayPal,5.0,AUD,2024-06-17T09:47:29.566172+00:00
PayPal,100.0,EUR,2024-06-17T09:47:29.589321+00:00
PayPal International,10.0,EUR,2024-06-17T09:47:29.613524+00:00
Amazon.co.uk,5.0,GBP,2024-06-17T09:47:29.638404+00:00
PayPal,5.0,USD,2024-06-17T09:47:29.665569+00:00
PayPal,5.0,USD,2024-06-17T09:47:29.690814+00:00
Amazon.it,1.0,EUR,2024-06-17T09:47:29.715226+00:00
PayPal,20.0,AUD,2024-06-17T09:47:29.739668+00:00
PayPal,10.0,EUR,2024-06-17T09:47:29.764843+00:00
PayPal,50.0,GBP,2024-06-17T09:47:29.789857+00:00
Virtual Visa,10.0,USD,2024-06-17T09:47:29.814523+00:00
PayPal,5.0,GBP,2024-06-17T09:47:29.837394+00:00
PayPal,20.0,EUR,2024-06-17T09:47:29.862988+00:00
PayPal,5.0,EUR,2024-06-17T09:47:29.887089+00:00
PayPal,20.0,AUD,2024-06-17T09:47:31.429661+00:00
PayPal,5.0,GBP,2024-06-17T09:47:31.456247+00:00
PayPal,100.0,EUR,2024-06-17T09:47:31.485383+00:00
PayPal,20.0,USD,2024-06-17T09:47:31.510741+00:00
PayPal,10.0,AUD,2024-06-17T09:47:31.534922+00:00
Amazon.com,5.0,USD,2024-06-17T09:47:31.558447+00:00
PayPal,5.0,AUD,2024-06-17T09:47:31.584081+00:00
PayPal,100.0,EUR,2024-06-17T09:47:31.607931+00:00
PayPal International,10.0,EUR,2024-06-17T09:47:31.632487+00:00
Amazon.co.uk,5.0,GBP,2024-06-17T09:47:31.656112+00:00
PayPal,5.0,USD,2024-06-17T09:47:31.679878+00:00
PayPal,5.0,USD,2024-06-17T09:47:31.707838+00:00
Amazon.it,1.0,EUR,2024-06-17T09:47:31.733586+00:00
PayPal,20.0,AUD,2024-06-17T09:47:31.758473+00:00
PayPal,10.0,EUR,2024-06-17T09:47:31.784357+00:00
PayPal,50.0,GBP,2024-06-17T09:47:31.810166+00:00
Virtual Visa,10.0,USD,2024-06-17T09:47:31.833628+00:00
PayPal,5.0,GBP,2024-06-17T09:47:31.856279+00:00
PayPal,20.0,EUR,2024-06-17T09:47:31.880656+00:00
PayPal,5.0,EUR,2024-06-17T09:47:31.909295+00:00
PayPal,5.0,GBP,2024-06-17T09:47:33.453110+00:00
PayPal,5.0,GBP,2024-06-17T09:47:33.482275+00:00
Amazon.co.uk,10.0,GBP,2024-06-17T09:47:33.504915+00:00
Revolut,1.0,EUR,2024-06-17T09:47:33.531315+00:00
PayPal,20.0,AUD,2024-06-17T09:47:33.563056+00:00
PayPal,5.0,GBP,2024-06-17T09:47:33.588285+00:00
PayPal,100.0,EUR,2024-06-17T09:47:33.612807+00:00
PayPal,20.0,USD,2024-06-17T09:47:33.636627+00:00
PayPal,10.0,AUD,2024-06-17T09:47:33.661870+00:00
Amazon.com,5.0,USD,2024-06-17T09:47:33.687317+00:00
PayPal,5.0,AUD,2024-06-17T09:47:33.713192+00:00
PayPal,100.0,EUR,2024-06-17T09:47:33.739046+00:00
PayPal International,10.0,EUR,2024-06-17T09:47:33.764544+00:00
Amazon.co.uk,5.0,GBP,2024-06-17T09:47:33.788926+00:00
PayPal,5.0,USD,2024-06-17T09:47:33.813424+00:00
PayPal,5.0,USD,2024-06-17T09:47:33.837296+00:00
Amazon.it,1.0,EUR,2024-06-17T09:47:33.861432+00:00
PayPal,20.0,AUD,2024-06-17T09:47:33.886118+00:00
PayPal,10.0,EUR,2024-06-17T09:47:33.911999+00:00
PayPal,50.0,GBP,2024-06-17T09:47:33.936772+00:00
PayPal,50.0,GBP,2024-06-17T09:47:37.052128+00:00
PayPal,50.0,EUR,2024-06-17T09:47:37.076042+00:00
PayPal,5.0,GBP,2024-06-17T09:47:37.102213+00:00
PayPal,5.0,USD,2024-06-17T09:47:37.127338+00:00
PayPal,5.0,GBP,2024-06-17T09:47:37.153942+00:00
PayPal,5.0,GBP,2024-06-17T09:47:37.178386+00:00
Amazon.co.uk,10.0,GBP,2024-06-17T09:47:37.202383+00:00
Revolut,1.0,EUR,2024-06-17T09:47:37.225760+00:00
PayPal,20.0,AUD,2024-06-17T09:47:37.250476+00:00
PayPal,5.0,GBP,2024-06-17T09:47:37.274956+00:00
PayPal,100.0,EUR,2024-06-17T09:47:37.299227+00:00
PayPal,20.0,USD,2024-06-17T09:47:37.322916+00:00
PayPal,10.0,AUD,2024-06-17T09:47:37.346692+00:00
